effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),31.98357729396073,0.39436579306630504,81.10129695904763,24.29740054095511,4.3083996721955245e-31
fixed,NA,X_i,-0.08461445932002028,0.04634675856173369,-1.82568235505217,44972.00000706345,0.06790475063083948
fixed,NA,Y_i,0.008112899488552108,0.11966681604019372,0.06779573282727891,44972.00000391376,0.9459485420518238
fixed,NA,X_i:Y_i,0.05011238556359791,0.14656131922098797,0.34192095042510834,44972.00000392936,0.7324119803766684
ran_pars,subj_id,sd__(Intercept),1.9627300123148281,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.634675856173367,NA,NA,NA,NA
fixed,NA,(Intercept),31.985453155457733,0.42105701280691243,75.96466080028351,24.264226555803567,2.2630848197895645e-30
fixed,NA,X_i,0.10258720120403622,0.04666296335163011,2.1984716322233417,44971.999998995736,0.027920589090147285
fixed,NA,Y_i,0.5802840922636425,0.12048325329703362,4.81630497504112,44972.00000154452,1.4671612680295394e-6
fixed,NA,X_i:Y_i,-0.5611673581945256,0.14756124656411568,-3.8029453617464335,44972.00000144203,1.4317472615483657e-4
ran_pars,subj_id,sd__(Intercept),2.096648436193771,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.666296335163009,NA,NA,NA,NA
fixed,NA,(Intercept),31.33807613196455,0.4256572639712121,73.62279181986189,24.27141241869,4.74624812559017e-30
fixed,NA,X_i,0.44013840644682867,0.04780892433450125,9.206197641414061,44972.0000014844,3.519590350493198e-20
fixed,NA,Y_i,0.4279462134134613,0.12344211183174275,3.4667765081398767,44971.99999832483,5.272314236928523e-4
fixed,NA,X_i:Y_i,0.7516625753607252,0.1511850933796739,4.9718034930405555,44971.99999853772,6.657654492983903e-7
ran_pars,subj_id,sd__(Intercept),2.1193177609512097,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.780892433450131,NA,NA,NA,NA
fixed,NA,(Intercept),31.63739432981436,0.3735584081224182,84.69196152973893,24.329799686486915,1.3977222684264223e-31
fixed,NA,X_i,0.4734418657883103,0.046210501350997114,10.245330648811377,44971.99999803085,1.3218517566063345e-24
fixed,NA,Y_i,0.4217031262391003,0.11931500143487135,3.5343680272198537,44972.00000531407,4.091616190000966e-4
fixed,NA,X_i:Y_i,0.5856835312623999,0.14613043608743875,4.007950341788823,44972.000005119684,6.134662221478511e-5
ran_pars,subj_id,sd__(Intercept),1.8582402786308734,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.621050135099707,NA,NA,NA,NA
fixed,NA,(Intercept),31.751538424884572,0.5440373132462583,58.36279544030513,24.162907114245662,1.6057284920427533e-27
fixed,NA,X_i,0.008612310102143125,0.04742352728282368,0.1816041656028909,44971.99999928958,0.8558941979870509
fixed,NA,Y_i,-0.053690967192156214,0.1224470209231928,-0.43848324595691784,44972.00000170046,0.6610381189064414
fixed,NA,X_i:Y_i,0.04173469261090524,0.14996636089285895,0.27829369441538904,44972.00000181763,0.7807881955770949
ran_pars,subj_id,sd__(Intercept),2.7132880002768016,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.742352728282367,NA,NA,NA,NA
fixed,NA,(Intercept),32.15479502154199,0.40697578148776065,79.0091118051186,24.28869403021657,8.275514616537247e-31
fixed,NA,X_i,-0.8354556474842698,0.04713163137840329,-17.726007419023762,44972.00000297071,4.577131531483553e-70
